,Team_home,Team_away,Game_id,Round,Minutes_home,Points_home,FieldGoalsMade2_home,FieldGoalsAttempted2_home,FieldGoalsMade3_home,FieldGoalsAttempted3_home,FreeThrowsMade_home,FreeThrowsAttempted_home,OffensiveRebounds_home,DefensiveRebounds_home,TotalRebounds_home,Assistances_home,Steals_home,Turnovers_home,BlocksFavour_home,BlocksAgainst_home,FoulsCommited_home,FoulsReceived_home,Valuation_home,Minutes_away,Points_away,FieldGoalsMade2_away,FieldGoalsAttempted2_away,FieldGoalsMade3_away,FieldGoalsAttempted3_away,FreeThrowsMade_away,FreeThrowsAttempted_away,OffensiveRebounds_away,DefensiveRebounds_away,TotalRebounds_away,Assistances_away,Steals_away,Turnovers_away,BlocksFavour_away,BlocksAgainst_away,FoulsCommited_away,FoulsReceived_away,Valuation_away
0,U-BT CLUJ-NAPOCA,JOVENTUT BADALONA,63,7,200:00,98,19,33,16,32,12,15,13,24,37,22,6,14,0,0,24,18,110,200:00,82,21,34,7,26,19,24,11,19,30,11,7,13,0,0,18,21,83
0,UMANA REYER VENICE,FRUTTI EXTRA BURSASPOR,64,7,200:00,78,22,40,6,26,16,20,19,23,42,15,8,13,2,3,22,25,90,200:00,65,13,27,7,19,18,28,6,20,26,12,5,15,3,2,26,22,54
0,7BET-LIETKABELIS PANEVEZYS,GERMANI BRESCIA,65,7,200:00,79,20,40,7,20,18,20,10,26,36,20,7,10,2,5,20,18,92,200:00,70,12,31,10,21,16,19,5,20,25,18,4,11,5,2,18,20,78
0,TURK TELEKOM ANKARA,GRAN CANARIA,66,7,200:00,81,18,29,11,27,12,20,7,19,26,19,6,8,2,1,18,22,94,200:00,88,23,33,10,32,12,15,14,22,36,23,4,9,1,2,22,18,102
0,BUDUCNOST VOLI PODGORICA,DOLOMITI ENERGIA TRENTO,67,7,200:00,73,16,41,9,22,14,18,16,24,40,13,8,13,4,7,18,16,74,200:00,58,15,34,7,23,7,13,13,23,36,11,10,16,7,4,16,18,63
0,VEOLIA TOWERS HAMBURG,HAPOEL TEL AVIV,68,7,225:00,98,21,43,11,38,23,26,21,28,49,18,9,18,3,4,20,25,108,225:00,91,24,44,9,24,16,24,11,28,39,21,13,21,4,3,26,20,95
0,SLASK WROCLAW,PARIS BASKETBALL,69,7,200:00,69,23,44,5,26,8,18,8,37,45,15,5,11,4,1,20,15,69,200:00,77,15,32,9,27,20,29,4,38,42,15,6,11,1,4,15,20,87
0,PROMITHEAS PATRAS,LONDON LIONS,70,7,200:00,67,14,34,9,28,12,15,8,24,32,11,7,9,1,7,20,17,57,200:00,77,22,42,6,23,15,22,13,33,46,19,4,12,7,1,17,19,98
0,CEDEVITA OLIMPIJA LJUBLJANA,GERMANI BRESCIA,71,8,200:00,80,13,41,9,22,27,32,11,26,37,14,6,9,1,5,26,23,75,200:00,83,18,36,10,27,17,23,12,30,42,16,4,11,5,1,24,26,99
0,FRUTTI EXTRA BURSASPOR,7BET-LIETKABELIS PANEVEZYS,72,8,200:00,75,17,28,8,31,17,22,11,20,31,15,9,18,2,4,23,28,76,200:00,69,21,35,3,19,18,22,9,26,35,11,7,21,4,2,28,23,64
0,JOVENTUT BADALONA,UMANA REYER VENICE,73,8,200:00,90,22,40,11,27,13,14,11,19,30,20,9,11,0,0,18,18,103,200:00,87,22,34,11,24,10,12,6,24,30,14,6,14,0,0,18,18,96
0,PROMETEY SLOBOZHANSKE,U-BT CLUJ-NAPOCA,74,8,200:00,105,19,34,15,28,22,27,7,26,33,24,10,14,1,4,24,23,121,200:00,82,24,34,6,26,16,20,6,21,27,25,8,17,4,1,23,24,95
0,RATIOPHARM ULM,MINCIDELICE JL BOURG EN BRESSE,75,8,200:00,110,20,25,19,36,13,18,7,21,28,23,9,20,1,3,24,20,117,200:00,98,21,29,13,26,17,26,5,15,20,20,14,17,3,1,20,24,111
0,TURK TELEKOM ANKARA,LONDON LIONS,76,8,200:00,102,26,45,14,30,8,10,12,25,37,32,11,9,5,5,19,12,129,200:00,74,25,44,3,19,15,26,15,24,39,16,5,16,5,5,12,19,79
0,PARIS BASKETBALL,PROMITHEAS PATRAS,77,8,200:00,71,21,32,6,32,11,15,15,33,48,17,5,23,3,0,21,19,78,200:00,74,13,26,10,32,18,25,5,22,27,18,9,16,0,3,19,21,69
0,HAPOEL TEL AVIV,SLASK WROCLAW,78,8,200:00,103,30,43,10,18,13,21,8,27,35,33,11,17,2,1,21,22,138,200:00,73,22,40,5,24,14,19,12,16,28,17,8,17,1,2,22,20,64
0,DOLOMITI ENERGIA TRENTO,VEOLIA TOWERS HAMBURG,79,8,200:00,85,16,37,12,26,17,18,9,20,29,19,13,11,1,0,19,20,101,200:00,80,20,28,10,27,10,18,9,25,34,19,5,19,0,1,21,18,82
0,GRAN CANARIA,BUDUCNOST VOLI PODGORICA,80,8,225:00,79,22,36,7,33,14,20,12,26,38,17,4,12,3,1,27,24,79,225:00,71,19,37,5,20,18,28,7,29,36,11,8,15,1,3,24,27,69
0,MINCIDELICE JL BOURG EN BRESSE,CEDEVITA OLIMPIJA LJUBLJANA,81,9,200:00,90,23,40,9,28,17,22,13,22,35,16,5,8,3,1,19,24,104,200:00,91,23,43,10,24,15,20,13,25,38,19,3,9,1,3,25,19,95
0,U-BT CLUJ-NAPOCA,RATIOPHARM ULM,82,9,200:00,81,27,31,5,29,12,14,12,19,31,18,8,19,3,0,22,22,92,200:00,84,21,35,10,23,12,16,10,18,28,14,9,20,0,3,22,21,80
0,UMANA REYER VENICE,PROMETEY SLOBOZHANSKE,83,9,200:00,71,22,45,6,20,9,10,9,29,38,8,4,13,3,2,27,21,65,200:00,75,26,44,2,19,17,33,15,28,43,16,10,12,2,3,21,27,86
0,7BET-LIETKABELIS PANEVEZYS,JOVENTUT BADALONA,84,9,200:00,76,24,38,7,24,7,13,8,19,27,19,7,10,2,3,20,22,83,200:00,90,19,33,12,22,16,19,8,26,34,21,4,13,3,2,22,20,108
0,GERMANI BRESCIA,FRUTTI EXTRA BURSASPOR,85,9,200:00,110,22,36,15,25,21,28,9,26,35,25,11,10,3,1,25,23,140,200:00,74,19,35,6,18,18,28,7,16,23,20,7,16,1,3,23,25,70
0,BUDUCNOST VOLI PODGORICA,TURK TELEKOM ANKARA,86,9,200:00,71,15,31,12,31,5,8,12,18,30,19,5,13,3,2,18,18,75,200:00,84,21,36,10,23,12,15,10,24,34,20,7,11,2,3,18,18,102
0,VEOLIA TOWERS HAMBURG,GRAN CANARIA,87,9,200:00,76,22,41,8,20,8,14,9,19,28,19,8,16,2,5,25,18,68,200:00,83,21,29,7,21,20,27,8,24,32,17,11,19,5,2,18,25,105
0,SLASK WROCLAW,DOLOMITI ENERGIA TRENTO,88,9,200:00,80,24,40,5,19,17,26,10,35,45,11,13,15,3,3,19,23,99,200:00,57,12,31,8,29,9,17,8,24,32,13,11,16,3,3,23,19,45
0,PROMITHEAS PATRAS,HAPOEL TEL AVIV,89,9,200:00,83,15,30,11,31,20,25,5,20,25,17,6,12,2,2,22,22,79,200:00,100,35,53,5,13,15,21,8,32,40,31,6,11,2,2,22,22,134
0,LONDON LIONS,PARIS BASKETBALL,90,9,200:00,80,31,57,3,22,9,18,12,36,48,16,4,11,3,3,15,21,89,200:00,93,18,40,15,44,12,15,13,38,51,20,7,10,3,3,21,15,101
0,FRUTTI EXTRA BURSASPOR,CEDEVITA OLIMPIJA LJUBLJANA,91,10,200:00,111,19,33,18,35,19,23,5,20,25,28,8,4,1,1,22,19,130,200:00,93,21,38,13,23,12,14,8,27,35,23,3,16,1,1,20,21,110
0,GERMANI BRESCIA,JOVENTUT BADALONA,92,10,200:00,85,18,35,11,26,16,18,13,23,36,23,5,13,2,1,22,20,101,200:00,75,21,42,6,22,15,19,12,21,33,22,7,12,1,2,21,21,83
0,7BET-LIETKABELIS PANEVEZYS,PROMETEY SLOBOZHANSKE,93,10,200:00,72,23,54,7,27,5,7,18,27,45,15,9,11,4,8,24,20,69,200:00,80,23,37,6,25,16,21,9,35,44,21,7,15,8,4,20,24,107
0,UMANA REYER VENICE,RATIOPHARM ULM,94,10,200:00,89,27,44,9,21,8,10,7,28,35,20,10,14,3,1,21,19,109,200:00,69,20,37,8,32,5,12,15,21,36,18,5,16,1,3,19,21,64
0,U-BT CLUJ-NAPOCA,MINCIDELICE JL BOURG EN BRESSE,95,10,200:00,79,18,34,8,29,19,26,17,19,36,16,6,14,0,6,19,23,77,200:00,88,22,32,10,25,14,15,6,25,31,16,5,14,6,0,23,18,101
0,PARIS BASKETBALL,TURK TELEKOM ANKARA,96,10,200:00,96,22,40,11,28,19,23,14,27,41,21,5,13,2,3,18,23,115,200:00,77,21,37,7,28,14,18,11,24,35,11,3,12,3,2,25,16,65
0,LONDON LIONS,HAPOEL TEL AVIV,97,10,200:00,93,19,41,12,26,19,25,9,24,33,23,5,11,6,2,28,23,100,200:00,95,27,59,4,15,29,38,24,27,51,15,5,14,2,6,23,28,101
0,PROMITHEAS PATRAS,DOLOMITI ENERGIA TRENTO,98,10,200:00,84,22,36,8,22,16,23,7,25,32,17,14,13,0,1,20,22,100,200:00,71,20,34,6,22,13,17,7,23,30,15,5,15,1,0,22,20,71
0,SLASK WROCLAW,GRAN CANARIA,99,10,200:00,79,21,40,7,21,16,21,6,26,32,16,6,12,5,1,21,21,87,200:00,91,21,38,11,34,16,21,16,27,43,25,8,10,1,5,21,21,108
0,VEOLIA TOWERS HAMBURG,BUDUCNOST VOLI PODGORICA,100,10,200:00,59,11,32,12,32,1,2,10,19,29,14,7,15,2,4,15,15,50,200:00,87,26,45,7,23,14,14,15,31,46,17,12,11,4,2,15,15,118
0,CEDEVITA OLIMPIJA LJUBLJANA,U-BT CLUJ-NAPOCA,101,11,200:00,80,16,34,11,38,15,22,13,27,40,9,7,13,1,3,29,24,64,200:00,88,16,26,11,26,23,34,3,33,36,23,3,19,3,1,24,27,100
0,MINCIDELICE JL BOURG EN BRESSE,UMANA REYER VENICE,102,11,200:00,86,27,37,5,17,17,21,7,32,39,11,6,16,3,2,21,20,100,200:00,79,19,39,10,27,11,12,6,17,23,17,9,11,2,3,20,21,79
0,RATIOPHARM ULM,7BET-LIETKABELIS PANEVEZYS,103,11,200:00,78,15,25,11,36,15,20,14,28,42,21,8,13,3,2,19,22,100,200:00,69,23,42,6,28,5,7,13,26,39,12,6,11,2,3,22,19,68
0,PROMETEY SLOBOZHANSKE,GERMANI BRESCIA,104,11,200:00,79,20,40,6,27,21,31,17,29,46,19,7,11,3,5,20,24,91,200:00,72,15,29,8,23,18,25,2,27,29,10,4,12,5,3,24,20,65
0,JOVENTUT BADALONA,FRUTTI EXTRA BURSASPOR,105,11,200:00,83,20,28,11,26,10,15,3,25,28,15,6,20,3,4,21,19,81,200:00,82,21,37,9,27,13,17,8,19,27,20,11,12,4,3,19,21,93
0,TURK TELEKOM ANKARA,VEOLIA TOWERS HAMBURG,106,11,200:00,98,26,36,11,28,13,16,9,28,37,24,11,19,3,0,19,21,126,200:00,74,17,34,8,30,16,20,12,20,32,14,11,18,0,3,21,19,65
0,BUDUCNOST VOLI PODGORICA,SLASK WROCLAW,107,11,200:00,82,28,42,5,26,11,17,14,26,40,13,11,12,4,2,21,16,90,200:00,71,14,34,10,21,13,18,7,23,30,14,8,17,2,4,17,21,72
0,GRAN CANARIA,PROMITHEAS PATRAS,108,11,200:00,91,24,34,6,22,25,31,6,33,39,24,6,13,4,1,25,27,120,200:00,72,18,33,6,21,18,30,3,22,25,16,8,14,1,4,27,25,60
0,DOLOMITI ENERGIA TRENTO,LONDON LIONS,109,11,200:00,70,23,56,4,18,12,18,18,19,37,14,9,13,0,5,18,16,57,200:00,84,20,37,9,19,17,23,9,32,41,19,9,21,5,0,16,18,106
0,HAPOEL TEL AVIV,PARIS BASKETBALL,110,11,200:00,95,31,51,7,20,12,15,6,38,44,32,7,13,4,4,20,15,124,200:00,79,23,45,7,43,12,16,22,26,48,14,9,12,4,4,16,20,80
0,JOVENTUT BADALONA,CEDEVITA OLIMPIJA LJUBLJANA,111,12,200:00,96,20,36,13,26,17,24,10,25,35,25,5,10,1,0,26,23,113,200:00,91,25,40,9,25,14,18,8,25,33,17,5,10,0,1,23,26,103
0,FRUTTI EXTRA BURSASPOR,PROMETEY SLOBOZHANSKE,112,12,200:00,92,28,44,8,24,12,14,13,19,32,12,5,11,5,2,23,16,92,200:00,94,18,38,13,29,19,22,18,19,37,18,7,14,2,5,16,23,107
0,GERMANI BRESCIA,RATIOPHARM ULM,113,12,200:00,72,21,39,6,21,12,16,9,27,36,14,5,16,3,1,25,18,69,200:00,85,12,27,16,34,13,21,10,23,33,22,8,11,1,3,20,25,99
0,7BET-LIETKABELIS PANEVEZYS,MINCIDELICE JL BOURG EN BRESSE,114,12,200:00,92,12,25,14,35,26,28,15,24,39,21,7,21,4,2,24,28,108,200:00,88,16,30,14,29,14,20,5,20,25,24,12,15,2,4,28,24,93
0,UMANA REYER VENICE,U-BT CLUJ-NAPOCA,115,12,200:00,95,18,36,12,21,23,27,8,21,29,21,4,16,3,2,26,27,104,200:00,90,22,38,7,18,25,27,6,20,26,22,6,11,2,3,29,25,99
0,HAPOEL TEL AVIV,TURK TELEKOM ANKARA,116,12,200:00,84,25,46,9,21,7,10,9,28,37,17,9,16,2,2,19,19,95,200:00,82,13,29,16,36,8,9,8,23,31,16,11,16,2,2,20,16,83
0,PARIS BASKETBALL,DOLOMITI ENERGIA TRENTO,117,12,200:00,86,20,37,7,26,25,36,16,28,44,12,8,15,6,1,9,26,110,200:00,75,28,51,5,23,4,4,13,26,39,20,10,14,1,6,26,9,67
0,LONDON LIONS,GRAN CANARIA,118,12,200:00,57,17,35,4,19,11,22,6,30,36,14,8,16,2,2,22,22,55,200:00,60,13,35,7,26,13,15,10,32,42,9,8,17,3,2,24,20,56
0,PROMITHEAS PATRAS,BUDUCNOST VOLI PODGORICA,119,12,200:00,81,18,31,11,25,12,14,5,22,27,20,9,12,3,2,17,21,101,200:00,72,18,44,10,22,6,8,17,20,37,17,5,16,2,3,21,17,70
0,SLASK WROCLAW,VEOLIA TOWERS HAMBURG,120,12,200:00,64,20,40,4,15,12,18,5,21,26,11,1,10,1,0,17,21,60,200:00,100,30,48,10,24,10,12,10,30,40,30,5,4,0,1,21,17,132
0,CEDEVITA OLIMPIJA LJUBLJANA,UMANA REYER VENICE,121,13,200:00,77,17,41,10,24,13,16,10,30,40,15,4,10,3,5,20,21,84,200:00,73,18,36,9,32,10,16,13,27,40,13,7,10,5,3,21,20,77
0,U-BT CLUJ-NAPOCA,7BET-LIETKABELIS PANEVEZYS,122,13,200:00,75,19,33,5,20,22,36,12,27,39,17,5,8,4,1,26,28,90,200:00,77,19,35,8,29,15,19,13,23,36,15,2,10,1,4,28,25,73
0,MINCIDELICE JL BOURG EN BRESSE,GERMANI BRESCIA,123,13,200:00,66,13,29,9,25,13,21,4,25,29,11,5,14,1,1,21,20,56,200:00,74,15,34,10,26,14,14,10,29,39,16,7,13,1,1,20,21,89
0,RATIOPHARM ULM,FRUTTI EXTRA BURSASPOR,124,13,200:00,92,23,38,8,20,22,31,9,25,34,20,6,15,0,2,20,26,105,200:00,86,24,42,10,26,8,16,13,24,37,17,9,15,2,0,26,20,88
0,PROMETEY SLOBOZHANSKE,JOVENTUT BADALONA,125,13,200:00,95,23,36,13,34,10,14,12,18,30,20,9,9,5,3,21,21,109,200:00,90,25,41,8,19,16,20,11,23,34,19,6,15,3,5,21,21,101
0,TURK TELEKOM ANKARA,SLASK WROCLAW,126,13,200:00,76,17,32,10,32,12,20,15,30,45,17,5,12,3,4,16,19,88,200:00,63,16,30,8,29,7,11,7,25,32,16,6,12,4,3,19,16,64
0,VEOLIA TOWERS HAMBURG,PROMITHEAS PATRAS,127,13,200:00,103,22,34,12,25,23,30,8,18,26,33,9,10,0,1,24,26,130,200:00,105,24,29,14,30,15,21,8,16,24,17,3,15,1,0,27,24,105
0,BUDUCNOST VOLI PODGORICA,LONDON LIONS,128,13,200:00,78,25,52,5,15,13,22,17,23,40,14,6,10,1,1,25,23,80,200:00,68,21,35,5,21,11,22,12,23,35,15,4,15,1,1,23,25,68
0,GRAN CANARIA,PARIS BASKETBALL,129,13,200:00,118,27,43,15,30,19,24,12,23,35,31,11,11,3,3,21,19,146,200:00,99,24,44,11,29,18,21,15,20,35,15,9,15,3,3,19,21,104
0,DOLOMITI ENERGIA TRENTO,HAPOEL TEL AVIV,130,13,200:00,60,17,40,5,26,11,19,11,19,30,11,9,13,1,0,27,21,40,200:00,78,19,30,4,14,28,33,4,36,40,18,9,20,0,1,23,27,102
